,Tweet_Text,created,Twitter_screenname,Followers,id,location
1086,@airvistara  very bad experience on board with Vistara during last week while traveling from Amritsar to Ahmedabad with family.  Though already requested and get confirmation for Jain Meal on board staff said it's not possible. Why to choose this full ser,2022-05-03 02:16:59+00:00,hemal_parshwa,7,1.52131E+18,
1087,@flyspicejet Passengers are equal stake holder. Without them no airlines will survive. Passenger should not be treated as a slave in the hands of capitalists. @airindiain @IndiGo6E @airvistara @JM_Scindia,2022-05-03 02:07:27+00:00,Manishdynamics,116,1.52131E+18,"New Delhi, India"
1088,"@airvistara thanks Sonal,  will connect with them and see on this",2022-05-03 02:06:40+00:00,Clinton1992,4,1.52131E+18,
1090,@airvistara Have already shared the details 11 hrs back .. is it so hard to respond ??,2022-05-03 01:52:43+00:00,PranavSShukla,36,1.52131E+18,
1098,"@airvistara For base flight UK829 keeping us awaited on the aerobridge, what’s this? Not acceptable. Deficiency in service and ground staff are very casual.",2022-05-03 00:49:29+00:00,kiran_nadella,39,1.52129E+18,India
1103,@airvistara Then why are you not approval my claim ?,2022-05-03 00:22:26+00:00,rgskhan,35,1.52128E+18,"Sonipat Haryana, India "
1104,"@airvistara @vistaraairline Dear Team, i sent request yesterday to keep my ticket open due to medical emergency.please respond. https://t.co/00Tb2yrQhP",2022-05-03 00:17:02+00:00,NidhiSh84569288,5,1.52128E+18,
1107,"You never ever, never mess with a Nor'Wester the Fateful thing. Don't even think of getting close to it. These lines, I am sure are drilled into every pilot's head. June 2021, @airvistara B-737 ran into a similar scenario a little south of this place. A lot fewer injuries. https://t.co/TqtK6sEy8Z",2022-05-02 23:55:33+00:00,flyingamit,3694,1.52128E+18,Gurugram
1108,@airvistara @TrainerTorterra Is 30000mah powerbank allowed,2022-05-02 23:55:24+00:00,GurudathPai1,17,1.52128E+18,
1109,@airvistara @dreamy_ritz @airvistara - Do you allow baby stroller on domestic flights?,2022-05-02 23:47:30+00:00,sunilhbti,50,1.52128E+18,
1110,"@airvistara @airvistara I have not received the bag, I need someone from your team to contact me asap.",2022-05-02 23:09:52+00:00,MahiraSood,0,1.52127E+18,
1112,RT @rij79: How can @airvistara get it consistently wrong . Delhi to Chandigarh they will fly the new planes with flat beds but delhi Hydera…,2022-05-02 22:07:00+00:00,thinkoutofbox,2003,1.52125E+18,India
1113,@airvistara Thanks for your prompt response @airvistara !,2022-05-02 22:02:01+00:00,hbsuranna,63,1.52125E+18,bangalore
1114,@airvistara Wellcome,2022-05-02 21:32:13+00:00,JWadhwane,6,1.52124E+18,"Alicante, Spain"
1115,RT @Faaaari: @P4PRIX @airvistara Great timing 👏,2022-05-02 20:53:46+00:00,AvglobeW,648,1.52123E+18,India
1116,RT @P4PRIX: @aviatormohit @airvistara Thank You Sir 🙏🏻😊,2022-05-02 20:53:30+00:00,AvglobeW,648,1.52123E+18,India
1117,RT @aviatormohit: @P4PRIX @airvistara Happy Landing,2022-05-02 20:53:25+00:00,AvglobeW,648,1.52123E+18,India
1122,"@cjb_aviation @airvistara Connections to Coimbatore are terrible with huge layover times. If there is decent connection times between CJB and BOM or DEL, a lot of west bound flights become open to public. 

Can give, COK a run for its money, if only cjb c",2022-05-02 19:47:46+00:00,leiden_copper,14,1.52121E+18,The Netherlands
1125,"With No Middle Eastern carries operating out of CJ, Majority of CJB traffic to EU/US is via Indian Hubs

A suggestion to @airvistara:
If the DEL-CJB is planned a bit late then all these 3 INTL. connections can be bookable!

Also Is 3h 30m Transit Insufficient at DEL for FRA-CJB? https://t.co/sv0EUZ7KQb",2022-05-02 19:31:39+00:00,cjb_aviation,3872,1.52121E+18,"Coimbatore, India"
1126,"@AakashKgp @airvistara Haha good one. But they better not though, or else this Vistara won’t fly.",2022-05-02 19:29:47+00:00,AnantOfficial,176,1.52121E+18,"Mumbai, India"
1127,"Appreciation tweet for you @airvistara.
1.Yes I had complained about the customer service on the ground while I had issues with rebooking a flight but believe me when I say it your in flight services and the warmth of the crew was something  that I really liked and would want to",2022-05-02 19:25:27+00:00,Abhinav_mav,12,1.52121E+18,"Medahalli,Bangalore"
1128,@AlmeidaJugnu @airvistara @TataCompanies @DGCAIndia @NDTVFood And all the titbits packed in plastic packaging :(,2022-05-02 19:19:02+00:00,vikram_varma10,67,1.52121E+18,"Gurgaon, New Delhi, NCR"
1129,@airvistara @airvistara after so many tweets n DM's they are failed to help their customers. Such behaviour wasn't expected from such renowned brand for providing excellent services. Pity!,2022-05-02 19:03:04+00:00,Heenajain206,65,1.5212E+18,
1132,"@AlooKachaluo @KnottyCommander @airvistara 💜. But they need more time slots. For now, IndiGo is hogging everything. https://t.co/Bds885ARWk",2022-05-02 18:48:28+00:00,kmayyank,241,1.5212E+18,Realism
1133,@airvistara It’s already 12 hours gone no reply from #airvistara &amp; no body reply me @RubikaLiyaquat @JM_Scindia,2022-05-02 18:40:43+00:00,kavie_9,135,1.5212E+18,
1139,@aviatormohit @airvistara Thank You Sir 🙏🏻😊,2022-05-02 18:27:52+00:00,P4PRIX,190,1.52119E+18,"नई दिल्ली, भारत"
1141,@P4PRIX @airvistara Great timing 👏,2022-05-02 18:25:22+00:00,Faaaari,411,1.52119E+18,
1142,@airvistara Experienced the #NewFeeling of #5Star Service aboard #AirVistara. kudos to the Team on board UK814👏👏,2022-05-02 18:21:53+00:00,Vickypalrecha,154,1.52119E+18,Bangalore
1155,"@airvistara Exactly, and that too if you are @Apple  user 😉",2022-05-02 18:12:07+00:00,ShriCommanMan,57,1.52119E+18,Bangaluru
1157,@P4PRIX @airvistara Happy Landing,2022-05-02 17:55:11+00:00,aviatormohit,167,1.52119E+18,
1158,"@airvistara UK996 Mum - Del 2 May - inflight crew Mehar - astonishing, brilliant, superb, phenomenal &amp; fabulous. The care &amp; service was truly Vistara Class &amp; beyond. My sincerest thanks &amp; gratitude to her ❤️❤️❤️. Also the capta",2022-05-02 17:53:55+00:00,abbasisonly,116,1.52119E+18,"Gurgaon, India"
1160,"@airvistara Hi Aashish, hope anyone is looking into it.",2022-05-02 17:50:19+00:00,VineetWaldia,2854,1.52119E+18,"Delhi, India"
1168,@Vinamralongani @jetairways @airvistara @IndiGo6E That's why I like to fly indigo 😂😂 jk,2022-05-02 17:23:29+00:00,Aaryan_2604,5,1.52118E+18,"Bulandshahr, India"
1170,@IshrionA @flyLAXairport @airvistara  look at this,2022-05-02 17:19:55+00:00,beautifuldy2fly,35,1.52118E+18,"Gurgaon,  India"
1171,"RT @206_abhishek: Dear @lkoairport &amp; @aaiksgairport 

Please if you can consider request for direct/connecting flight from Lko to Ajmer &amp; A…",2022-05-02 17:17:57+00:00,PenditRakesh,1,1.52118E+18,NEW DELHI
1174,"@Ektashah27 @airvistara If they give you poha , refuse it , half cooked , airvistara",2022-05-02 17:10:30+00:00,ManmohanMalho15,56,1.52118E+18,
1175,"@airvistara I wish to convey my sincere thanks to Mr Anil Mahi, correspondent at the Baggage check-in service counter. I &amp; my mom were traveling from Delhi- Mumbai when we met him. He was very helpful &amp; courteous in his behavior, truly won our hea",2022-05-02 17:09:56+00:00,mmkorthopod,0,1.52118E+18,"New Delhi, India"
1176,Thank you @airvistara for a amazing flight experience . #UK992 Flight reg- # VT-TNK #vistara,2022-05-02 17:02:50+00:00,MufcHarshad,352,1.52117E+18,
1183,@airvistara Seated in 14c I did not have a choice of food as well! shows how unprepared the staff was!,2022-05-02 16:38:44+00:00,Samvit_dad,286,1.52117E+18,Bangalore
1184,"@airvistara In UK863 today, I could not fix laptop charger in the charging slot. Crew indicated that the plane is made in US. Good that you don't charge in USD based on same rational or in Singapore dollars on an alternative rational. #airtravel",2022-05-02 16:31:30+00:00,mehulmatrix,482,1.52117E+18,"मुंबई ,भारत"
1185,@airvistara hopefully soon!,2022-05-02 16:28:49+00:00,xyzzyspoonshift,566,1.52116E+18,India
1187,@Ektashah27 @airvistara Welcome to Delhi,2022-05-02 16:16:24+00:00,KappilKapoor,722,1.52116E+18,Delhi
1189,@airvistara it feel good to see the USB charger option as this will help passengers to charge up the phones so that whole day will be helpful for single day return flyers.!!! Kudos https://t.co/4JMMcdAvrR,2022-05-02 16:08:42+00:00,ShriCommanMan,57,1.52116E+18,Bangaluru
